applicant_id,gender,race,age,education,experience_years,skill_score,interview_score,hired
1,Male,White,21,Bachelor,2,64,73,0
2,Female,White,23,High School,13,55,87,0
3,Female,Hispanic,38,Bachelor,14,54,75,0
4,Male,White,23,Master,8,73,15,1
5,Male,Hispanic,46,Bachelor,18,100,42,1
6,Male,White,34,Bachelor,12,78,65,1
7,Male,Hispanic,35,High School,11,46,60,1
8,Female,Hispanic,32,Bachelor,3,59,58,0
9,Male,White,42,High School,11,60,45,0
10,Female,White,42,Bachelor,9,57,36,0
11,Male,White,38,Bachelor,10,64,100,1
12,Female,Black,40,PhD,4,75,65,0
13,Female,White,32,High School,8,80,77,0
14,Male,Black,40,Bachelor,3,86,65,1
15,Male,White,31,Bachelor,0,77,65,1
16,Male,White,35,Bachelor,12,40,63,1
17,Male,White,32,Master,0,54,42,1
18,Male,White,30,Bachelor,8,67,34,1
19,Male,Black,28,High School,9,72,72,1
20,Male,Hispanic,39,Master,9,82,68,1
21,Male,Black,48,Bachelor,6,70,83,1
22,Male,White,46,High School,9,70,79,0
23,Male,Asian,22,Bachelor,10,73,48,1
24,Male,Black,47,Bachelor,11,66,87,1
25,Male,Asian,31,Bachelor,16,71,80,1
26,Female,White,41,High School,9,86,78,1
27,Male,White,25,Bachelor,8,68,100,1
28,Male,White,36,Bachelor,3,69,100,0
29,Male,Black,38,Bachelor,10,69,78,1
30,Male,White,21,PhD,11,89,76,1
31,Male,White,41,High School,7,53,86,1
32,Male,White,48,PhD,10,96,53,1
33,Male,Black,33,Bachelor,6,52,53,0
34,Female,Black,48,Master,11,60,78,1
35,Female,White,33,Bachelor,12,81,47,1
36,Female,White,43,Bachelor,12,85,76,1
37,Male,Black,21,Master,8,48,68,1
38,Male,Asian,59,Master,2,53,47,0
39,Female,Black,49,Bachelor,4,74,65,0
40,Male,Asian,32,High School,10,100,91,0
41,Male,Hispanic,21,Bachelor,20,88,66,1
42,Male,Black,37,PhD,6,66,66,1
43,Male,White,21,Bachelor,10,33,71,1
44,Female,Black,39,Master,5,71,74,0
45,Male,Black,39,Master,3,75,58,0
46,Female,Black,25,Master,4,64,72,1
47,Male,White,46,Bachelor,0,57,44,0
48,Male,White,43,Bachelor,14,72,49,0
49,Male,White,44,PhD,0,55,51,1
50,Male,White,35,Bachelor,6,98,74,1
51,Female,White,21,Master,2,92,68,0
52,Female,Hispanic,44,Bachelor,3,79,62,0
53,Female,White,32,Master,14,71,78,1
54,Female,White,21,Bachelor,9,60,72,1
55,Male,White,48,Bachelor,3,69,59,1
56,Female,Black,55,Master,5,94,44,1
57,Male,White,34,Bachelor,4,83,48,0
58,Male,White,56,Master,7,73,35,0
59,Male,Black,35,Bachelor,8,83,67,1
60,Male,White,31,Bachelor,17,78,47,1
61,Male,Asian,28,Bachelor,0,75,55,0
62,Male,Asian,51,Bachelor,7,84,62,1
63,Female,White,27,Bachelor,6,77,85,1
64,Male,White,42,Master,12,82,83,1
65,Male,Hispanic,29,Master,9,72,63,0
66,Male,White,30,Bachelor,10,66,90,1
67,Male,White,45,Bachelor,9,61,24,0
68,Female,White,31,Master,3,59,100,1
69,Male,Asian,30,Master,14,45,78,1
70,Female,White,46,Master,11,56,67,1
71,Female,Black,50,Master,12,55,47,1
72,Male,Hispanic,41,Bachelor,14,62,56,1
73,Male,White,28,Bachelor,10,93,77,1
74,Female,White,29,Bachelor,15,67,77,1
75,Female,Asian,35,High School,9,73,78,1
76,Female,White,38,Master,6,74,50,1
77,Female,Black,25,High School,7,93,46,0
78,Male,White,42,PhD,7,61,68,1
79,Male,White,35,Master,5,66,80,1
80,Male,White,21,Master,16,68,65,1
81,Female,White,25,PhD,9,87,94,1
82,Female,White,29,Bachelor,8,90,65,1
83,Male,Hispanic,34,Master,9,77,64,0
84,Male,White,53,High School,22,88,78,1
85,Male,White,37,High School,2,72,89,1
86,Male,White,26,Master,3,67,38,1
87,Female,Hispanic,37,High School,1,87,42,0
88,Female,White,31,PhD,6,77,58,0
89,Female,Black,38,Master,9,58,100,1
90,Male,White,40,Master,5,84,59,1
91,Male,White,47,Bachelor,5,66,62,1
92,Female,White,34,Master,8,65,77,1
93,Female,Hispanic,51,High School,5,83,84,0
94,Male,White,44,Master,9,68,68,1
